SUPPLIER_NAME,SUPPLIER_ID,SUPPLIER_POSTCODE,SUPPLIER_COUNTRY,NUM_SUPPLIERS,CONTRACT_BUYER,CONTRACT_BUYER_POSTCODE,CONTRACT_TITLE,CONTRACT_DATE,CONTRACT_DESC,CONTRACT_URL,CONTRACT_VALUE,CONTRACT_CURRENCY
Associated Community Training Ltd,,CF24 5ET,UK,2,Caerphilly County Borough Council,CF82 7PG,Dynamic Purchasing System (‘DPS’) for the Provision of Learning and Development Services,20200925,"Caerphilly County Borough Council can only achieve efficient and effective quality public services through its most valuable resource, its employees.",http://ted.europa.eu/udl?uri=TED:NOTICE:452946-2020:TEXT:EN:HTML,5000000,GBP
Ernst and Young LLp,OC300001,SE1 2AF,UK,1,Department of Health and Social Care,SW1H 0EU,Support to the Development of the Joint Biosecurity Centre (JBC),20200925,Support to the full operating capacity of the Joint Biosecurity Centre to deliver emergency response to Covid-19 by,http://ted.europa.eu/udl?uri=TED:NOTICE:452962-2020:TEXT:EN:HTML,1790000.00,GBP
Bumbly Bees,,DD5 3AN,UK,1,"Dundee City Council, Contracts Team",DD4 9FF,Quality Funded Early Learning and Childcare (1140 hours),20200925,"From August 2020, children’s entitlement to funded Early Learning and Childcare (ELC) is increasing from 600 hours to 1140 hours. This provision will utilise a Funding Follows the Child approach.",http://ted.europa.eu/udl?uri=TED:NOTICE:452974-2020:TEXT:EN:HTML,25000000,GBP
Aspens Services,06561073,WR3 8SX,UK,1,Shirehampton Primary School,BS11 9RR,Shirehampton Primary School — Catering Services Tender,20200925,The successful supplier will be required to provide catering services for Shirehampton Primary School.,http://ted.europa.eu/udl?uri=TED:NOTICE:452985-2020:TEXT:EN:HTML,1215165,GBP
Framework Housing Association,3318404,NG7 6NX,UK,2,Lincolnshire County Council,LN1 1YL,Housing Related Support and Youth Housing Supported Accommodation,20200925,"Lincolnshire County Council will be undertaking a procurement in line with Regulations 74-76 of the Public Contract Regulations 2015 (PCR), the Light Touch Regime, and pursuant to Regulation 76(7) of the PCR, for",http://ted.europa.eu/udl?uri=TED:NOTICE:453001-2020:TEXT:EN:HTML,20000000,GBP
Nacro,,EC2M 4SQ,UK,2,Lincolnshire County Council,LN1 1YL,Housing Related Support and Youth Housing Supported Accommodation,20200925,"Lincolnshire County Council will be undertaking a procurement in line with Regulations 74-76 of the Public Contract Regulations 2015 (PCR), the Light Touch Regime, and pursuant to Regulation 76(7) of the PCR, for",http://ted.europa.eu/udl?uri=TED:NOTICE:453001-2020:TEXT:EN:HTML,20000000,GBP
Bombardier Transportation UK Ltd,,DE24 8AD,UK,1,Abellio East Anglia Ltd,EC4A 3AG,Manufacture and Supply Agreement for the Class 720 Fleet,20200925,"Abellio East Anglia Ltd (AEA) entered into an agreement, originally between AEA, CBA Rolling Stock Company No 1 Pty Ltd and Bombardier Transportation UK Ltd on 29 September 2016 for, inter alia, the manufacture and supply of 22 x 10-car electric multiple units (EMUs) and (eighty nine) 89 x 5-car EMUs, and now between AEA, Bombardier Transportation UK Ltd (as Manufacturer of the rolling stock) and Angel Trains Rolling Stock Ltd (as the owner of the rolling stock). Due to the impact of Covid-19, the parties are amending the manufacture and supply agreement.",http://ted.europa.eu/udl?uri=TED:NOTICE:453007-2020:TEXT:EN:HTML,888355903.95,GBP
Kier Highways Ltd,05606089,M2 2EE,UK,1,Highways England,B1 1RN,Area 4 Asset Delivery Maintenance and Response (M&R) Contract,20200928,"Highways England is looking for a suitable contractor to provide and undertake all routine and cyclic maintenance, incident response, defect rectification and severe weather delivery on the all-purpose trunk roads and motorways within the South-East Region Area 4. Additional duties will also include the ongoing maintenance of two tunnels (A20 Roundhill and A27 Southwick), maintenance of roadside technology, the provision of traffic management for the contractor's maintenance and response activities (including traffic management) during incidents and where instructed by Highways England and the maintenance of depots. Under the CDM Regulations 2015 the contractor will be principal contractor for all work they undertake unless instructed otherwise by the service manager.",http://ted.europa.eu/udl?uri=TED:NOTICE:455053-2020:TEXT:EN:HTML,159000000.00,GBP
,,,,3,NHS Wales Shared Services Partnership-Procurement Services (hosted by Velindre University NHS Trust),CF14 3UB,"Pulp, Medical Products",20200928,The contract is for the provision of pulp medical products and accessories to NHS Wales.,http://ted.europa.eu/udl?uri=TED:NOTICE:455066-2020:TEXT:EN:HTML,4573608,GBP
Vernacare HCS Ltd,,PR7 7NB,UK,3,NHS Wales Shared Services Partnership-Procurement Services (hosted by Velindre University NHS Trust),CF14 3UB,"Pulp, Medical Products",20200928,The contract is for the provision of pulp medical products and accessories to NHS Wales.,http://ted.europa.eu/udl?uri=TED:NOTICE:455066-2020:TEXT:EN:HTML,4573608,GBP
Unisurge International Ltd.,,CB8 0BF,UK,3,NHS Wales Shared Services Partnership-Procurement Services (hosted by Velindre University NHS Trust),CF14 3UB,"Pulp, Medical Products",20200928,The contract is for the provision of pulp medical products and accessories to NHS Wales.,http://ted.europa.eu/udl?uri=TED:NOTICE:455066-2020:TEXT:EN:HTML,4573608,GBP
,,,,6,NHS Wales Shared Services Partnership,CF15 7QZ,Speciality Needles and Syringes,20200928,The framework seeks to establish an All Wales compliant Agreement for the use of speciality needles and syringes.,http://ted.europa.eu/udl?uri=TED:NOTICE:455067-2020:TEXT:EN:HTML,1089721,GBP
Vygon (UK) Ltd,,SN25 4DL,UK,6,NHS Wales Shared Services Partnership,CF15 7QZ,Speciality Needles and Syringes,20200928,The framework seeks to establish an All Wales compliant Agreement for the use of speciality needles and syringes.,http://ted.europa.eu/udl?uri=TED:NOTICE:455067-2020:TEXT:EN:HTML,1089721,GBP
Becton Dickinson UK Ltd,,OX4 4DQ,UK,6,NHS Wales Shared Services Partnership,CF15 7QZ,Speciality Needles and Syringes,20200928,The framework seeks to establish an All Wales compliant Agreement for the use of speciality needles and syringes.,http://ted.europa.eu/udl?uri=TED:NOTICE:455067-2020:TEXT:EN:HTML,1089721,GBP
Owen Mumford,,OX7 5XP,UK,6,NHS Wales Shared Services Partnership,CF15 7QZ,Speciality Needles and Syringes,20200928,The framework seeks to establish an All Wales compliant Agreement for the use of speciality needles and syringes.,http://ted.europa.eu/udl?uri=TED:NOTICE:455067-2020:TEXT:EN:HTML,1089721,GBP
Fannin UK Ltd,,NN8 6GT,UK,6,NHS Wales Shared Services Partnership,CF15 7QZ,Speciality Needles and Syringes,20200928,The framework seeks to establish an All Wales compliant Agreement for the use of speciality needles and syringes.,http://ted.europa.eu/udl?uri=TED:NOTICE:455067-2020:TEXT:EN:HTML,1089721,GBP
Scarboroughs,,DT6 5HS,UK,6,NHS Wales Shared Services Partnership,CF15 7QZ,Speciality Needles and Syringes,20200928,The framework seeks to establish an All Wales compliant Agreement for the use of speciality needles and syringes.,http://ted.europa.eu/udl?uri=TED:NOTICE:455067-2020:TEXT:EN:HTML,1089721,GBP
Applied Medical UK Ltd,,,UK,1,HealthTrust Europe LLP (HTE) acting as agent for the University Hospitals of Coventry and Warwickshire NHS Trust (‘UHCW’),B15 1NU,"Advanced Energy, Laparoscopic Devices, Surgical Stapling and Associated Accessories",20200928,"HealthTrust Europe is seeking to establish a framework agreement for the supply of advanced energy, laparoscopic devices, surgical stapling and associated accessories. The scope of this framework agreement includes, but not limited to, devices and consumables to assist in minimally invasive surgeries. Below is a breakdown of the products:",http://ted.europa.eu/udl?uri=TED:NOTICE:455068-2020:TEXT:EN:HTML,15000000,GBP
Venson Automotive Solutions Ltd,02714185,KT7 0SR,UK,4,Hertfordshire County Council,SG13 8BQ,Hertfordshire County Council and TPPL Vehicle Contract Hire Framework,20200928,"Hertfordshire County Council invited tenders for organisations to participate in a 48-month agreement for the supply of vehicles under contract hire. In creating this agreement, the Council will function as a Central Purchasing Body as defined in the Public Contract Regulations 2015. The Council has made the resulting agreement available for use by all contracting authorities throughout all administrative regions of the UK, including but not limited to Government Departments and their Agencies, Non-Departmental Public Bodies, Central Government, NHS Bodies, Local Authorities, Emergency Services, Coastguard Emergency Services, Educational Establishments, Registered Social Landlords and Registered Charities, subject to said organisation being a current member of TPPL at the time of use.",http://ted.europa.eu/udl?uri=TED:NOTICE:455071-2020:TEXT:EN:HTML,250000000,GBP
Volkswagen Financial Service UK Ltd,02835230,MK14 5LR,UK,4,Hertfordshire County Council,SG13 8BQ,Hertfordshire County Council and TPPL Vehicle Contract Hire Framework,20200928,"Hertfordshire County Council invited tenders for organisations to participate in a 48-month agreement for the supply of vehicles under contract hire. In creating this agreement, the Council will function as a Central Purchasing Body as defined in the Public Contract Regulations 2015. The Council has made the resulting agreement available for use by all contracting authorities throughout all administrative regions of the UK, including but not limited to Government Departments and their Agencies, Non-Departmental Public Bodies, Central Government, NHS Bodies, Local Authorities, Emergency Services, Coastguard Emergency Services, Educational Establishments, Registered Social Landlords and Registered Charities, subject to said organisation being a current member of TPPL at the time of use.",http://ted.europa.eu/udl?uri=TED:NOTICE:455071-2020:TEXT:EN:HTML,250000000,GBP
Car Hire (Day of Swansea) Ltd t/a Days Fleet,00571025,SA4 4LL,UK,4,Hertfordshire County Council,SG13 8BQ,Hertfordshire County Council and TPPL Vehicle Contract Hire Framework,20200928,"Hertfordshire County Council invited tenders for organisations to participate in a 48-month agreement for the supply of vehicles under contract hire. In creating this agreement, the Council will function as a Central Purchasing Body as defined in the Public Contract Regulations 2015. The Council has made the resulting agreement available for use by all contracting authorities throughout all administrative regions of the UK, including but not limited to Government Departments and their Agencies, Non-Departmental Public Bodies, Central Government, NHS Bodies, Local Authorities, Emergency Services, Coastguard Emergency Services, Educational Establishments, Registered Social Landlords and Registered Charities, subject to said organisation being a current member of TPPL at the time of use.",http://ted.europa.eu/udl?uri=TED:NOTICE:455071-2020:TEXT:EN:HTML,250000000,GBP
Agility UK Ltd t/a Agility Fleet,05191342,B60 4AD,UK,4,Hertfordshire County Council,SG13 8BQ,Hertfordshire County Council and TPPL Vehicle Contract Hire Framework,20200928,"Hertfordshire County Council invited tenders for organisations to participate in a 48-month agreement for the supply of vehicles under contract hire. In creating this agreement, the Council will function as a Central Purchasing Body as defined in the Public Contract Regulations 2015. The Council has made the resulting agreement available for use by all contracting authorities throughout all administrative regions of the UK, including but not limited to Government Departments and their Agencies, Non-Departmental Public Bodies, Central Government, NHS Bodies, Local Authorities, Emergency Services, Coastguard Emergency Services, Educational Establishments, Registered Social Landlords and Registered Charities, subject to said organisation being a current member of TPPL at the time of use.",http://ted.europa.eu/udl?uri=TED:NOTICE:455071-2020:TEXT:EN:HTML,250000000,GBP
Fisher Scientific UK Ltd,,LE11 5RG,UK,1,University College London,WC1E 6BT,Cold Storage Framework,20200928,"UCL would like to invite suppliers to submit bids for supply of a cold storage framework tender. The value for this tender is estimated at GBP 1 million. For the full technical specification and marking scheme, please see the ITT documentation. Suppliers are also required to submit a copy of the tender documents electronically. UCL is not a contracting authority or a body governed by public law as defined by the Public Contracts Regulations 2015. This procurement process is not regulated by EU or UK public procurement law. Where UCL advertises contracts in the Official Journal of the European Union, it does so on a voluntary basis and does not undertake any obligation to comply with the procurement legislation. UCL reserves its rights in full to adapt or step outside the procedures in the procurement legislation as UCL considers necessary. For this project UCL will be running this tender as a voluntary OJEU.",http://ted.europa.eu/udl?uri=TED:NOTICE:455074-2020:TEXT:EN:HTML,1000000,GBP
Fire Systems,,KT1 3GZ,UK,1,Optivo,CR0 9XP,Fire Safety Systems Servicing and Maintenance,20200928,"Regular servicing, new installations and reactive maintenance of fire safety systems to properties owned and managed by Optivo in London, Kent, Sussex and the Midlands.",http://ted.europa.eu/udl?uri=TED:NOTICE:455115-2020:TEXT:EN:HTML,10000000,GBP
Eurovia Infrastructure Ltd,,RH12 2RW,UK,1,Royal Borough of Greenwich,SE18 6HQ,"SPS 2158 — CCTV System Upgrade, Operation and Maintenance",20200928,The Royal Borough of Greenwich (RBG) wishes to invite potential suppliers to tender to provide a CCTV system upgrade and system operation and maintenance. The contractor is required to obtain and pass on manufacturer’s warranties on materials/equipment replaced.,http://ted.europa.eu/udl?uri=TED:NOTICE:455127-2020:TEXT:EN:HTML,2700000,GBP
AGE UK,,WC1H 9NA,UK,1,NHS England,LS2 7UE,Voluntary Services Support to Covid-19,20200928,Various services from the voluntary sector to support with yielding the most improvement in performance and patient safety during the pressurised environment of Covid-19 in hospitals.,http://ted.europa.eu/udl?uri=TED:NOTICE:455129-2020:TEXT:EN:HTML,1500250.00,GBP
British Red Cross,,EC2Y 9AL,UK,1,NHS England,LS2 7UE,Voluntary Services Support to Covid-19,20200928,Various services from the voluntary sector to support with yielding the most improvement in performance and patient safety during the pressurised environment of Covid-19 in hospitals.,http://ted.europa.eu/udl?uri=TED:NOTICE:455130-2020:TEXT:EN:HTML,1731350.00,GBP
Harrow Green Ltd,01742531,E16 2BZ,UK,1,Network Rail Infrastructure Ltd,NW1 2DN,Office Moves,20200928,"This framework agreement will provide a managed service solution for the provision of the following services which includes but is not limited to removal services, and other associated services and trades. The supplier will act as a single point interface with each client representative, and deliveries which are called off via the framework.",http://ted.europa.eu/udl?uri=TED:NOTICE:455131-2020:TEXT:EN:HTML,3700000.00,GBP
WHAG,,OL11 1EF,UK,1,Halton Borough Council,WA8 7DZ,Provision of Halton Domestic Abuse Service,20200928,"Halton Borough Council is proud to offer a real opportunity for an experienced and suitably qualified provider to deliver an integrated, holistic, whole family approach to domestic abuse services for adults, children, young people and families.",http://ted.europa.eu/udl?uri=TED:NOTICE:455162-2020:TEXT:EN:HTML,2145000,GBP
Beachcroft LLP,,EC4N 8AF,UK,1,Network Rail Infrastructure Ltd,NW1 2DN,Claims Handling and Litigation Services,20200928,Claims handling and litigation services on behalf of Network Rail.,http://ted.europa.eu/udl?uri=TED:NOTICE:455170-2020:TEXT:EN:HTML,6000000.00,GBP
P. Casey & Co Ltd,,,UK,2,Cobalt Housing,L11 2SF,"Altbridge Park, Development of 57 Dwellings 2020-21 and a 4-year Framework for Future Schemes Valued GBP 4.5 milion to GBP 9 million",20200929,"One of the key attributes of Cobalt Housing’s growing success is our strategic objective to deliver good quality new homes, that will replenish stock lost to RTB and simultaneously meet the ambitions and varied aspirations of our communities and residents At the heart of our development strategy we aim to transform neighbourhoods, homes and services to improve the quality of life for our customers and provide affordable, high quality homes in thriving communities.",http://ted.europa.eu/udl?uri=TED:NOTICE:457516-2020:TEXT:EN:HTML,7200718,GBP
R.P. Tyson Construction Ltd,,,UK,2,Cobalt Housing,L11 2SF,"Altbridge Park, Development of 57 Dwellings 2020-21 and a 4-year Framework for Future Schemes Valued GBP 4.5 milion to GBP 9 million",20200929,"One of the key attributes of Cobalt Housing’s growing success is our strategic objective to deliver good quality new homes, that will replenish stock lost to RTB and simultaneously meet the ambitions and varied aspirations of our communities and residents At the heart of our development strategy we aim to transform neighbourhoods, homes and services to improve the quality of life for our customers and provide affordable, high quality homes in thriving communities.",http://ted.europa.eu/udl?uri=TED:NOTICE:457516-2020:TEXT:EN:HTML,7200718,GBP
E&O Laboratories Ltd,,FK4 2HH,UK,1,The Common Services Agency (more commonly known as NHS National Services Scotland) (‘NSS’),EH12 9EB,NSS Covid-19 -197 Supply of Virus PCR Sample Solution (VPSS),20200929,VPSS tubes of virus inactivating media and Lysis buffer.,http://ted.europa.eu/udl?uri=TED:NOTICE:457532-2020:TEXT:EN:HTML,7029880,GBP
Brookhouse UK T/A Harrow Business Services Ltd,,CO4 5WY,UK,1,ESPO,LE19 1ES,"695_20 Design and Furnishing Solutions for Libraries, Learning Resource Centres and Other Public Spaces",20200929,"Design and refurbishment solutions for libraries, learning resource centres and other public spaces.",http://ted.europa.eu/udl?uri=TED:NOTICE:457534-2020:TEXT:EN:HTML,6000000,GBP
Moredun Research Institute,,EH260PZ,UK,1,The Common Services Agency (more commonly known as NHS National Services Scotland) (‘NSS’),EH12 9EB,NSSCOVID-19 -200 Delivery of Covid-19 Testing From Commercial Labs,20200929,Supply Covid-19 testing services.,http://ted.europa.eu/udl?uri=TED:NOTICE:457535-2020:TEXT:EN:HTML,9000000,GBP
Vorbuchner GmbH and Co KG,N/A,84558,DE,1,University of Leeds,LS2 9JZ,FA 3722 — Helium Liquefier,20200929,The award of a contract for a Helium Liquefier.,http://ted.europa.eu/udl?uri=TED:NOTICE:457538-2020:TEXT:EN:HTML,1017610,GBP
Externiture,,RG19 4NA,UK,1,Strathclyde Partnership for Transport,G2 5JF,"Bus Stop and Bus Shelter Installation, Repair and Maintenance",20200929,"Bus stop and bus shelter installation, repair and maintenance.",http://ted.europa.eu/udl?uri=TED:NOTICE:457539-2020:TEXT:EN:HTML,4500000,GBP
Aebi Scmidt UK Ltd,,,UK,1,East Riding of Yorkshire,HU17 9BA,2214-20 — Framework for Vehicle Bodies,20200929,"This framework agreement is for the purchase of vehicle bodies, over a period of 4 years.",http://ted.europa.eu/udl?uri=TED:NOTICE:457540-2020:TEXT:EN:HTML,3250000,GBP
telent Technology Services Ltd,,CV34 5AH,UK,2,Crown Commercial Service,L3 9P,Radio Network Infrastructure Replacement Reference,20200929,"HM Coastguard were required to monitor VHF and MF Radio transmissions from vessels at sea and provide assistance in case of emergency to prevent loss of life within the UK’s jurisdiction. In order to do this, the current network consists of 155 remote radio sites (RRS), situated around 11 000 miles of UK coastline. This network facilitates all communication transmissions to and from vessels at sea and to the HM Coastguard Watch Officers based at our 10 coastguard operation centres around the UK and the National Maritime Operations centre in Fareham via two data centres.",http://ted.europa.eu/udl?uri=TED:NOTICE:457542-2020:TEXT:EN:HTML,100419467,GBP
telent Technology Services Ltd,,,UK,2,Crown Commercial Service,L3 9P,Radio Network Infrastructure Replacement Reference,20200929,"HM Coastguard were required to monitor VHF and MF Radio transmissions from vessels at sea and provide assistance in case of emergency to prevent loss of life within the UK’s jurisdiction. In order to do this, the current network consists of 155 remote radio sites (RRS), situated around 11 000 miles of UK coastline. This network facilitates all communication transmissions to and from vessels at sea and to the HM Coastguard Watch Officers based at our 10 coastguard operation centres around the UK and the National Maritime Operations centre in Fareham via two data centres.",http://ted.europa.eu/udl?uri=TED:NOTICE:457542-2020:TEXT:EN:HTML,100419467,GBP
Bidfood,,SL1 4BD,UK,7,Greenshaw and Folio Trusts C/O Pelican Procurement Services,GU8 6LB,Tender for the Supply and Distribution of Food and Drink products to Greenshaw and Folio Trusts,20200929,"Grocery, fresh meat, fresh produce, sandwiches, confectionery and soft drinks.",http://ted.europa.eu/udl?uri=TED:NOTICE:457547-2020:TEXT:EN:HTML,1080000,GBP
Reeves Butchers Ltd,,RG12 1NQ,UK,7,Greenshaw and Folio Trusts C/O Pelican Procurement Services,GU8 6LB,Tender for the Supply and Distribution of Food and Drink products to Greenshaw and Folio Trusts,20200929,"Grocery, fresh meat, fresh produce, sandwiches, confectionery and soft drinks.",http://ted.europa.eu/udl?uri=TED:NOTICE:457547-2020:TEXT:EN:HTML,1080000,GBP
John Sheppard Butchers,,BS2 9XS,UK,7,Greenshaw and Folio Trusts C/O Pelican Procurement Services,GU8 6LB,Tender for the Supply and Distribution of Food and Drink products to Greenshaw and Folio Trusts,20200929,"Grocery, fresh meat, fresh produce, sandwiches, confectionery and soft drinks.",http://ted.europa.eu/udl?uri=TED:NOTICE:457547-2020:TEXT:EN:HTML,1080000,GBP
Sheringhams Fine Foods,,SW8 5LL,UK,7,Greenshaw and Folio Trusts C/O Pelican Procurement Services,GU8 6LB,Tender for the Supply and Distribution of Food and Drink products to Greenshaw and Folio Trusts,20200929,"Grocery, fresh meat, fresh produce, sandwiches, confectionery and soft drinks.",http://ted.europa.eu/udl?uri=TED:NOTICE:457547-2020:TEXT:EN:HTML,1080000,GBP
Arthur David Food with Service,,BS39 5XR,UK,7,Greenshaw and Folio Trusts C/O Pelican Procurement Services,GU8 6LB,Tender for the Supply and Distribution of Food and Drink products to Greenshaw and Folio Trusts,20200929,"Grocery, fresh meat, fresh produce, sandwiches, confectionery and soft drinks.",http://ted.europa.eu/udl?uri=TED:NOTICE:457547-2020:TEXT:EN:HTML,1080000,GBP
Fat Boys Ltd t/a Simply Lunch,,CR2 7ED,UK,7,Greenshaw and Folio Trusts C/O Pelican Procurement Services,GU8 6LB,Tender for the Supply and Distribution of Food and Drink products to Greenshaw and Folio Trusts,20200929,"Grocery, fresh meat, fresh produce, sandwiches, confectionery and soft drinks.",http://ted.europa.eu/udl?uri=TED:NOTICE:457547-2020:TEXT:EN:HTML,1080000,GBP
Chapple and Jenkins,,BS15 4NR,UK,7,Greenshaw and Folio Trusts C/O Pelican Procurement Services,GU8 6LB,Tender for the Supply and Distribution of Food and Drink products to Greenshaw and Folio Trusts,20200929,"Grocery, fresh meat, fresh produce, sandwiches, confectionery and soft drinks.",http://ted.europa.eu/udl?uri=TED:NOTICE:457547-2020:TEXT:EN:HTML,1080000,GBP
Sports and Leisure Management Ltd (Trading as Everyone Active),,LE10 3EY,UK,1,Winchester City Council,SO23 9LJ,Winchester City Council — Leisure Centre Services Management,20200929,As a result of the Covid-19 crisis two leisure centres operated by Places for People Leisure Management Ltd on behalf of the Council (River Park Leisure Centre and Meadowside Leisure Centre) have been closed. In May 2020 the Council was informed by Places Leisure that it could not viably maintain the facilities and was seeking to exit from the arrangement. This announcement triggered an urgent and immediate need to seek an alternative provider to manage the transition of the facilities.,http://ted.europa.eu/udl?uri=TED:NOTICE:457586-2020:TEXT:EN:HTML,1141000.00,GBP
Medtronic Ltd,,WD18 8WW,UK,1,The Common Services Agency (more commonly known as NHS National Services Scotland) (‘NSS’),EH12 9EB,"NSSCOVID-19 -218 Cytosponge Delivery, and Pathology Reporting Service",20200929,"This requirement is for cytosponge device and delivery of pathology lab, pathology service and pathology report.",http://ted.europa.eu/udl?uri=TED:NOTICE:457590-2020:TEXT:EN:HTML,2336000,GBP
Sutcliffe Play (South West) Ltd,,BH1 66FH,UK,4,Caerphilly County Borough Council,CF82 7PG,"Dynamic Purchasing System for Grounds Maintenance, Playground and Landscaping Contractors",20200929,Award of contracts under the DPS from 14 September 2018 to 31 August 2020.,http://ted.europa.eu/udl?uri=TED:NOTICE:457600-2020:TEXT:EN:HTML,1307592.00,GBP
Bendcrete Leisure Ltd,,OX14 1RL,UK,4,Caerphilly County Borough Council,CF82 7PG,"Dynamic Purchasing System for Grounds Maintenance, Playground and Landscaping Contractors",20200929,Award of contracts under the DPS from 14 September 2018 to 31 August 2020.,http://ted.europa.eu/udl?uri=TED:NOTICE:457600-2020:TEXT:EN:HTML,1307592.00,GBP
Sutcliffe Play (South West) Ltd,,BH16 6FH,UK,4,Caerphilly County Borough Council,CF82 7PG,"Dynamic Purchasing System for Grounds Maintenance, Playground and Landscaping Contractors",20200929,Award of contracts under the DPS from 14 September 2018 to 31 August 2020.,http://ted.europa.eu/udl?uri=TED:NOTICE:457600-2020:TEXT:EN:HTML,1307592.00,GBP
Complete Weed Control South and Central Wales Ltd,,CF11 8TJ,UK,4,Caerphilly County Borough Council,CF82 7PG,"Dynamic Purchasing System for Grounds Maintenance, Playground and Landscaping Contractors",20200929,Award of contracts under the DPS from 14 September 2018 to 31 August 2020.,http://ted.europa.eu/udl?uri=TED:NOTICE:457600-2020:TEXT:EN:HTML,1307592.00,GBP
Blackpool Teaching Hospitals NHS Foundation Trust,,,UK,1,NHS England,LS1 7UE,Digital Staff Passport solution for NHS Providers to Rapidly Deploy Staff in Response to Covid-19,20200929,"Development of the Covid-19 digital staff passport website, onboarding process for users, relevant system integrations, deployment of the covid-19 solution for up to 225 trusts, support of the Covid-19 solution and cloud hosting of the Covid-19 solution.",http://ted.europa.eu/udl?uri=TED:NOTICE:457606-2020:TEXT:EN:HTML,1600000.00,GBP
Outcomes for Children (Core Assets Group) Ltd,09049637,B60 4AD,UK,1,Nottinghamshire County Council,NG2 7QP,DN2 Children’s Services Intervention Programme — Social Impact Bond,20200929,"The DN2 Partnership: comprising Nottinghamshire County Council, Nottingham City Council, and Derby City Council — has been successful is securing funding to develop a Social Impact Bond.",http://ted.europa.eu/udl?uri=TED:NOTICE:457615-2020:TEXT:EN:HTML,15000000,GBP
Red Squirrel Tree Surgery Ltd,,,UK,1,London Borough of Hillingdon,,Tree Maintenance Services for the London Borough of Hillingdon,20200929,Framework for tree maintenance services for the London Borough of Hillingdon.,http://ted.europa.eu/udl?uri=TED:NOTICE:457628-2020:TEXT:EN:HTML,1168770.00,GBP
Super 7 Wholesale,,NN13 7DH,UK,1,Department of Health and Social Care,SW1H 0EU,Supply of Personal Protective Equipment for Healthcare Workers for the Care of Patients with Suspected or Confirmed Novel Coronavirus (Covid-19),20200930,The Department of Health and Social Care (the ‘Authority’) has awarded a contract to Super 7 Wholesale for the supply of personal protective equipment type IIR face masks to protect health and care workers for contracting the Covid-19 disease.,http://ted.europa.eu/udl?uri=TED:NOTICE:460097-2020:TEXT:EN:HTML,57600000.00,USD
Cargo Services Far East Ltd,,,HK,1,Department of Health and Social Care,SW1H 0EU,Supply of Personal Protective Equipment for Healthcare Workers for the Care of Patients with Suspected or Confirmed Novel Coronavirus (Covid-19),20200930,"The Department of Health and Social Care (the ‘Authority’) has awarded a contract to Cargo Services Far East Ltd for the supply of personal protective equipment, Isolation Gowns, to protect Health and Care Workers for contracting the Covid-19 disease.",http://ted.europa.eu/udl?uri=TED:NOTICE:460098-2020:TEXT:EN:HTML,138000000.00,USD
Saiger Llc,,33136,US,1,Department of Health and Social Care,SW1H 0EU,Supply of Personal Protective Equipment for Healthcare Workers for the Care of Patients with Suspected or Confirmed Novel Coronavirus (Covid-19),20200930,"The Department of Health and Social Care (the ‘Authority’) has awarded a contract to Saiger LLC for the supply of personal protective equipment, gloves, to protect health and care workers for contracting the Covid-19 disease.",http://ted.europa.eu/udl?uri=TED:NOTICE:460099-2020:TEXT:EN:HTML,43710000.00,USD
HLP Klearfold Ltd,,GL20 6EA,UK,1,Department of Health and Social Care,SW1H 0EU,Supply of Personal Protective Equipment for Healthcare Workers for the Care of Patients with Suspected or Confirm,20200930,The Department of Health and Social Care (the ‘Authority’) has awarded a contract to HLP Klearfold Ltd for the supply of personal protective equipment face shields to protect health and care workers for contracting the Covid-19 disease.,http://ted.europa.eu/udl?uri=TED:NOTICE:460100-2020:TEXT:EN:HTML,7800000.00,GBP
"Cambodian Textiles Worldwide Phnom Penh Works Co., Ltd",,,KH,1,Department of Health and Social Care,SW1H 0EU,Supply of Personal Protective Equipment for Healthcare Workers for the Care of Patients with Suspected or Confirmed Novel Coronavirus (Covid-19),20200930,"The Department of Health and Social Care (the ‘Authority’) has awarded a contract to Cambodian Textiles Worldwide Phnom Penh Works Co., Ltd for the supply of personal protective equipment, gowns, to protect health and care workers for contracting the Covid-19 disease.",http://ted.europa.eu/udl?uri=TED:NOTICE:460101-2020:TEXT:EN:HTML,11379886.20,USD
AIYA Technology,63537133-000-07-14-6,,HK,1,Department of Health and Social Care,SW1H 0EU,Supply of Personal Protective Equipment for Healthcare Workers for the Care of Patients with Suspected or Confirm,20200930,The Department of Health and Social Care (the ‘Authority’) has awarded a contract to Aiya Technology HK for the supply of personal protective equipment surgical aprons to protect health and care workers for contracting the Covid-19 disease.,http://ted.europa.eu/udl?uri=TED:NOTICE:460102-2020:TEXT:EN:HTML,6240000.00,GBP
Coherent Europe B.V.,N/A,3526 KL,NL,1,UK Research and Innovation,SN2 1FL,UK SBS PR20009 EPAC Laser Diode Pump System for 150 J Amplifier,20200930,"UKRI, the contracting authority, wishes to purchase a minimum of one laser diode pump system (comprising two laser diode sources) that will be used to pump an ytterbium:YAG laser amplifier providing pulses with an energy of up to 150 J, as part of the EPAC Project. The minimum scope of the contract is for the supply of one laser diode pump system, with the ability to purchase up to an additional two laser diode pump systems at a later date.",http://ted.europa.eu/udl?uri=TED:NOTICE:460106-2020:TEXT:EN:HTML,1402800,GBP
